Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,3805,Manufactured Exports share in total exports,Value,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.293443487,0.180432965,0.196265586,0.141181152,0.169640162,0.142193359,0.147219365
AFG,Afghanistan,3806,Share of manufactured exports in total exports index,Value,0.29335025,0.293907092,0.29530295,0.295067002,0.295188209,0.295220856,0.294601243,0.294748865,0.289983578,0.290095079,0.292249174,0.291463901,0.291076808,0.291784264,0.294492193,0.298150944,0.283405543,0.28454042,0.30000609,0.182612266,0.199743491,0.143221351,0.171001632,0.139299867,0.142405334
ALB,Albania,3786,Competitive Industrial Performance Score,Value,0.008616344,0.007195554,0.004936099,0.004612356,0.004535839,0.004831869,0.004159044,0.002697105,0.004624453,0.006448161,0.005812414,0.00654655,0.006314308,0.007415111,0.008552581,0.006097134,0.006510854,0.011543682,0.007894889,0.011898462,0.011965977,0.012769766,0.012144416,0.011166765,0.007762275
ALB,Albania,3787,Competitive Industrial Performance Rank,Rank,115,119,123,124,124,124,125,135,126,120,122,122,123,120,112,124,122,107,119,106,106,103,101,106,117
ALB,Albania,3788,Competitive Industrial Performance Quintile,Value,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.3,0.1,0.3,0.3,0.3,0.3,0.3,0.1
ALB,Albania,3789,Impact of a country on World Manufactures Trade,Value,4.29E-05,4.29E-05,4.29E-05,4.29E-05,4.29E-05,4.29E-05,4.29E-05,2.53E-05,4.13E-05,7.21E-05,4.93E-05,5.96E-05,6.04E-05,7.16E-05,8.13E-05,1.83E-05,1.88E-05,9.20E-05,3.35E-05,0.000100049,0.000107609,0.000112699,0.000103917,0.00011239,6.83E-05
ALB,Albania,3790,Share in world manufacturing exports index,Value,0.000291392,0.000291392,0.000310282,0.000330362,0.000339149,0.000360241,0.000355065,0.00019346,0.000319874,0.000566292,0.000384911,0.000485261,0.000531406,0.00062053,0.000701644,0.000158348,0.000164936,0.000804857,0.000277963,0.000770138,0.000767019,0.00078461,0.000664945,0.000690644,0.000414845
ALB,Albania,3791,Impact of a country on World Manufacturing Value Added,Value,9.77E-05,6.04E-05,2.97E-05,2.68E-05,2.43E-05,2.59E-05,2.81E-05,1.82E-05,2.67E-05,3.16E-05,3.07E-05,3.33E-05,3.37E-05,4.04E-05,4.51E-05,5.26E-05,5.88E-05,6.39E-05,6.39E-05,7.02E-05,7.02E-05,7.59E-05,7.05E-05,7.09E-05,6.66E-05
ALB,Albania,3792,Share of world MVA index,Value,0.000480667,0.000298264,0.000132649,0.000112206,0.000101344,0.000109435,0.000120691,7.22E-05,0.000110461,0.000130332,0.000128146,0.000145651,0.000148538,0.000180406,0.000201788,0.000243125,0.000278324,0.000314172,0.00032706,0.000364502,0.000363818,0.000373165,0.000324914,0.00031334,0.000281209
ALB,Albania,3793,Industrialization intensity index,Value,0.14393131,0.127605456,0.058668912,0.049340639,0.052856002,0.066637538,0.022588384,0.01314731,0.045450643,0.067777642,0.078389134,0.095806234,0.066356293,0.067967944,0.089733482,0.149067719,0.177458032,0.175713889,0.14230701,0.152599578,0.121955003,0.156438509,0.187111122,0.122339569,0.119299698
ALB,Albania,3794,Medium- and High-Tech Manufacturing Value Added share in total manufacturing value added,Value,0.075811472,0.075811472,0.04642834,0.04642834,0.059029438,0.080727688,0.018437893,0.020136055,0.051190369,0.077033025,0.076109662,0.123073315,0.078010538,0.064348003,0.087956197,0.169842507,0.202122671,0.189507494,0.140880113,0.143615194,0.065559438,0.105491947,0.170950463,0.056364893,0.056364893
ALB,Albania,3795,Share of Medium and High-Tech Activities in Total MVA Index,Value,0.102004163,0.103474822,0.060055972,0.058554425,0.075532361,0.104347671,0.020538897,0.021252602,0.065582577,0.098622107,0.093932863,0.152471174,0.093996291,0.076863548,0.10400128,0.202734365,0.236629821,0.21658488,0.157540228,0.164960792,0.073442067,0.119353602,0.196813938,0.063012674,0.06683817
ALB,Albania,3796,Medium- and High-Tech manufactured Exports share in total manufactured exports,Value,0.100253707,0.100253707,0.100253707,0.100253707,0.100253707,0.100253707,0.100253707,0.129314896,0.049862059,0.083114198,0.065599171,0.066398426,0.066138521,0.088666679,0.088105933,0.305457697,0.162735532,0.058166668,0.14267885,0.068194258,0.15420848,0.166749379,0.146909538,0.10809846,0.038713264
ALB,Albania,3797,Share of Medium and High-Tech Activities in Manufacturing Export Index,Value,0.120562711,0.120210022,0.119467402,0.118812647,0.118036343,0.11898659,0.118967343,0.153762924,0.059204093,0.098488114,0.076824477,0.078552022,0.078520243,0.1052732,0.105240749,0.370949753,0.197881741,0.07140005,0.179193753,0.083547627,0.18485087,0.190293063,0.169407107,0.125798302,0.041273218
ALB,Albania,3798,Manufacturing Value Added per capita,Value,158.845742,97.59973368,48.2228414,43.90099418,42.08320671,47.51016888,53.40583883,36.36200939,54.05805767,66.84309539,69.55020173,75.62652656,78.53241172,99.19810995,118.1566912,144.1154236,172.2978604,199.6777853,202.2652181,208.40985,229.5211237,257.7530374,244.0006644,251.0893618,242.1637696
ALB,Albania,3799,MVA per capita index,Value,0.013358133,0.008225532,0.003923764,0.003453,0.003173413,0.003671159,0.004205316,0.002570471,0.004085025,0.005148923,0.005275879,0.005505935,0.005632723,0.007354527,0.008713496,0.010402988,0.01189114,0.013335142,0.013179005,0.015246534,0.015885701,0.016639021,0.01592143,0.016596118,0.015644748
ALB,Albania,3801,Share of MVA in GDP index,Value,0.185858456,0.15173609,0.057281853,0.040126853,0.030179643,0.028927406,0.024637871,0.005042017,0.025318709,0.036933178,0.062845405,0.039141295,0.038716296,0.059072341,0.075465683,0.095401073,0.118286243,0.134842898,0.127073791,0.140238364,0.170467939,0.193523417,0.177408306,0.181666464,0.171761227
ALB,Albania,3802,Manufactured Exports per capita,Value,51.82496049,51.82496049,51.82496049,51.82496049,51.82496049,51.82496049,51.82496049,32.10978715,52.98567248,95.86354943,72.41215038,84.92143183,91.68823223,126.5592362,175.4982261,44.32848467,52.69489874,297.1210126,121.3897843,282.9829533,370.3278197,454.7528313,416.587247,464.9640252,294.8537375
ALB,Albania,3803,Manufactured Exports per capita index,Value,0.003199116,0.003199116,0.003199116,0.003199116,0.003171287,0.002767193,0.002671309,0.001729375,0.003285137,0.005552848,0.0038066,0.00424516,0.004358855,0.005795372,0.006718404,0.001555531,0.001725953,0.008292992,0.003154111,0.009416749,0.011365922,0.012053008,0.011672641,0.01153013,0.004737096
ALB,Albania,3804,Industrial export quality index,Value,0.474989867,0.475600728,0.47720274,0.476541803,0.476325001,0.476846277,0.475960708,0.471471731,0.453820743,0.50258037,0.496574755,0.49735442,0.492854636,0.512569539,0.526208034,0.553211336,0.455629732,0.481575927,0.450272576,0.461371632,0.477736463,0.472036961,0.427026715,0.382725196,0.21207936
ALB,Albania,3805,Manufactured Exports share in total exports,Value,0.820057154,0.820057154,0.820057154,0.820057154,0.820057154,0.820057154,0.820057154,0.776851497,0.848418663,0.905944826,0.915274669,0.91513194,0.906216792,0.916606736,0.936528908,0.720805102,0.703092156,0.872871434,0.704393062,0.819622278,0.752623196,0.736210374,0.669361347,0.632775886,0.386349619
ALB,Albania,3806,Share of manufactured exports in total exports index,Value,0.829417024,0.830991435,0.834938078,0.834270959,0.83461366,0.834705965,0.832954074,0.789180538,0.848437393,0.906672626,0.916325032,0.916156819,0.907189029,0.919865879,0.947175319,0.735472918,0.713377723,0.891751804,0.721351398,0.839195638,0.770622056,0.753780858,0.684646323,0.639652089,0.382885502
ARE,United Arab Emirates,3786,Competitive Industrial Performance Score,Value,0.021431581,0.021556791,0.025283451,0.029730055,0.031846071,0.032181689,0.032509855,0.053174572,0.054545432,0.054850997,0.072090098,0.068791604,0.083078066,0.06885781,0.077208088,0.077639029,0.085227504,0.07584247,0.083100626,0.077183956,0.064761993,0.064387674,0.071295213,0.079465651,0.075891431
ARE,United Arab Emirates,3787,Competitive Industrial Performance Rank,Rank,81,80,77,71,70,70,67,52,52,53,45,46,40,45,44,46,40,49,44,46,54,53,49,44,41
ARE,United Arab Emirates,3788,Competitive Industrial Performance Quintile,Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ARE,United Arab Emirates,3789,Impact of a country on World Manufactures Trade,Value,4.51E-05,4.51E-05,5.72E-05,9.25E-05,9.25E-05,9.25E-05,9.25E-05,0.000737849,0.000737849,0.000737849,0.001177612,0.001035803,0.001801632,0.001073923,0.001672045,0.001622324,0.00232931,0.002053504,0.002688145,0.002571692,0.0014247,0.001622828,0.002059218,0.003409181,0.00335339
ARE,United Arab Emirates,3790,Share in world manufacturing exports index,Value,0.000305712,0.000305712,0.000413343,0.000711658,0.000730587,0.000776024,0.000764873,0.005645657,0.005716205,0.005796098,0.009200229,0.008445489,0.015853395,0.009315883,0.014446096,0.014111288,0.020449237,0.017968849,0.022452985,0.019833808,0.010169092,0.011312035,0.013191408,0.020965958,0.020379382
ARE,United Arab Emirates,3791,Impact of a country on World Manufacturing Value Added,Value,0.001232259,0.0012715,0.001344422,0.001212284,0.00146135,0.001558556,0.001654745,0.001961933,0.002031885,0.002127807,0.002601585,0.002628074,0.00265535,0.002649474,0.002698419,0.002766255,0.002785956,0.002676049,0.002919258,0.002679903,0.002499363,0.002608071,0.002684272,0.002662456,0.002707725
ARE,United Arab Emirates,3792,Share of world MVA index,Value,0.006344708,0.006756983,0.007032539,0.006131708,0.007217524,0.007584616,0.008104944,0.009557801,0.009627319,0.009800468,0.012040385,0.01265604,0.012894998,0.012801992,0.012977302,0.013526793,0.013823902,0.013645742,0.015496711,0.014415603,0.01336239,0.013199363,0.012744369,0.012141659,0.011808254
ARE,United Arab Emirates,3793,Industrialization intensity index,Value,0.143626522,0.142736969,0.143730555,0.135252022,0.145766416,0.147242154,0.148279707,0.159244465,0.163742184,0.170160601,0.197971562,0.187051941,0.186321021,0.18269344,0.18225497,0.1861942,0.18479471,0.182964774,0.192475852,0.189989597,0.202689683,0.209910037,0.209365204,0.205640569,0.211384364
ARE,United Arab Emirates,3794,Medium- and High-Tech Manufacturing Value Added share in total manufacturing value added,Value,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983,0.126111983
ARE,United Arab Emirates,3795,Share of Medium and High-Tech Activities in Total MVA Index,Value,0.181002252,0.176587256,0.174207023,0.171366032,0.168836302,0.165416267,0.165478082,0.164268127,0.16647117,0.163552599,0.157823245,0.156316766,0.15394912,0.153741122,0.150489197,0.149724933,0.146484822,0.143125208,0.140715716,0.144486069,0.144071216,0.143271537,0.144395959,0.144749391,0.153537119
ARE,United Arab Emirates,3796,Medium- and High-Tech manufactured Exports share in total manufactured exports,Value,0.274252387,0.274252387,0.346773098,0.504190371,0.504190371,0.504190371,0.504190371,0.031464341,0.031464341,0.031464341,0.042079581,0.05919293,0.040133994,0.101931606,0.039736159,0.094262592,0.089235396,0.085307939,0.074931563,0.11622407,0.270711115,0.21203915,0.275512652,0.162685091,0.22618217
ARE,United Arab Emirates,3797,Share of Medium and High-Tech Activities in Manufacturing Export Index,Value,0.329809362,0.328844552,0.41323241,0.597525958,0.593621815,0.598400741,0.598303945,0.037412929,0.037359423,0.037284407,0.049280223,0.070027629,0.047647436,0.121022535,0.047464035,0.114473086,0.108507683,0.104716178,0.094108328,0.14239095,0.324503458,0.241977389,0.317704363,0.189322847,0.241138694
ARE,United Arab Emirates,3798,Manufacturing Value Added per capita,Value,3822.491032,3726.219162,3739.631847,3204.366858,3844.430295,4093.37504,4253.654532,5005.765106,4974.842237,5154.526705,6430.518979,6266.501166,6264.028213,6251.445687,6211.656035,5838.094797,5328.328084,4565.718941,4292.560082,3250.042105,3049.565178,3129.56251,3190.315991,3202.584084,3320.551998
ARE,United Arab Emirates,3799,MVA per capita index,Value,0.342245882,0.335185445,0.339069817,0.293455325,0.344600921,0.371285357,0.385756289,0.43923795,0.430480714,0.444903787,0.546958313,0.506899703,0.496271387,0.500060793,0.489101566,0.446762959,0.38735609,0.319471046,0.293840475,0.249961788,0.221622692,0.212295045,0.220533467,0.22488133,0.229791707
ARE,United Arab Emirates,3801,Share of MVA in GDP index,Value,0.106250793,0.108886682,0.113254088,0.099138012,0.122696531,0.12906804,0.131081331,0.154220802,0.161013197,0.176768604,0.238119879,0.217787117,0.218692923,0.211645758,0.214020743,0.222663468,0.223104598,0.222804339,0.244235988,0.235493126,0.261308151,0.276548536,0.274334448,0.266531747,0.269231608
ARE,United Arab Emirates,3802,Manufactured Exports per capita,Value,58.78556394,58.78556394,80.7199846,122.3817916,122.3817916,122.3817916,122.3817916,1124.391921,1124.391921,1124.391921,1888.978394,1548.290898,2766.829578,1825.659704,3170.944112,3030.693826,4250.36296,3620.236457,4525.068739,2969.685346,1829.469687,2314.1061,2835.383347,4788.349534,4879.817525
ARE,United Arab Emirates,3803,Manufactured Exports per capita index,Value,0.003632439,0.003632439,0.004997935,0.007591531,0.007525492,0.006566573,0.00633904,0.060913652,0.06998308,0.0652834,0.099839532,0.077817471,0.132463508,0.083870516,0.121676759,0.107396311,0.139948576,0.101181984,0.117990891,0.098960086,0.056202248,0.061381818,0.079517892,0.118842129,0.078505677
ARE,United Arab Emirates,3804,Industrial export quality index,Value,0.279788796,0.279524465,0.368948836,0.525177761,0.523318695,0.525733209,0.525209362,0.098326977,0.097012977,0.097005589,0.117207428,0.134378139,0.131309867,0.116644048,0.104173151,0.128435892,0.135332608,0.131236681,0.141832514,0.157347472,0.215057867,0.174465637,0.212769251,0.179991216,0.208195577
ARE,United Arab Emirates,3805,Manufactured Exports share in total exports,Value,0.230982684,0.230982684,0.322097282,0.447522328,0.447522328,0.447522328,0.447522328,0.160956879,0.160956879,0.160956879,0.186714215,0.201154245,0.217751412,0.115330556,0.161798294,0.141238624,0.177926511,0.172461318,0.185719182,0.170397776,0.104528707,0.10583619,0.108184967,0.172940759,0.179882106
ARE,United Arab Emirates,3806,Share of manufactured exports in total exports index,Value,0.229768229,0.230204379,0.324665261,0.452829563,0.453015576,0.453065678,0.452114778,0.159241025,0.156666531,0.15672677,0.185134632,0.198728649,0.214972298,0.112265562,0.160882267,0.142398699,0.162157533,0.157757184,0.189556699,0.172303993,0.105612276,0.106953884,0.107834139,0.170659585,0.175252459
ARG,Argentina,3786,Competitive Industrial Performance Score,Value,0.062431021,0.064410699,0.066853549,0.073276808,0.076536788,0.081597308,0.081199538,0.089153167,0.092419538,0.081010627,0.077762419,0.075360007,0.07053291,0.073539539,0.076347797,0.080687516,0.084834896,0.08645851,0.090305184,0.091651186,0.093397733,0.094763179,0.090405068,0.084565972,0.07191782
ARG,Argentina,3787,Competitive Industrial Performance Rank,Rank,45,45,43,40,39,39,41,37,34,39,42,41,44,44,45,43,41,40,39,39,39,39,41,40,45
ARG,Argentina,3788,Competitive Industrial Performance Quintile,Value,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
ARG,Argentina,3789,Impact of a country on World Manufactures Trade,Value,0.002110614,0.002110614,0.002110614,0.002418415,0.002565531,0.002957246,0.002842325,0.003333472,0.003477252,0.002892104,0.002793048,0.002936004,0.002760478,0.002681569,0.002689156,0.002854224,0.003009632,0.003110648,0.00338145,0.003341695,0.003297917,0.003393561,0.003204501,0.00286956,0.002385353
ARG,Argentina,3790,Share in world manufacturing exports index,Value,0.014333278,0.014333278,0.015262426,0.018620017,0.02027811,0.024828005,0.02352027,0.025507113,0.026939785,0.022719507,0.021821413,0.023940347,0.024290987,0.023262182,0.023234396,0.024827086,0.02642197,0.027219518,0.028244329,0.0257728,0.023541076,0.023656175,0.020528562,0.017647281,0.014496278
ARG,Argentina,3791,Impact of a country on World Manufacturing Value Added,Value,0.005793824,0.00637715,0.007022337,0.00737301,0.007345975,0.007216051,0.007451376,0.007760851,0.007806186,0.006910249,0.006229342,0.005779617,0.005053473,0.005606996,0.005925386,0.006229077,0.006420001,0.006542283,0.006680559,0.007023939,0.007109525,0.007620097,0.007340338,0.007158403,0.006858226
ARG,Argentina,3792,Share of world MVA index,Value,0.029922207,0.033984948,0.036830914,0.037412732,0.036356876,0.035177638,0.036557057,0.037856975,0.03703242,0.031863016,0.028849872,0.027850687,0.024554682,0.027109324,0.028514974,0.030477727,0.031873613,0.033377892,0.035479169,0.037804298,0.038031505,0.038586852,0.034868,0.032661708,0.029922764
ARG,Argentina,3793,Industrialization intensity index,Value,0.361569986,0.351423807,0.346469818,0.371216365,0.374223609,0.36562618,0.377223187,0.390729852,0.38515658,0.360530168,0.361241718,0.33541758,0.326197526,0.340535071,0.347152476,0.349961147,0.354045212,0.352936429,0.352876813,0.365427665,0.38530286,0.394677073,0.386624224,0.381918837,0.386245643
ARG,Argentina,3794,Medium- and High-Tech Manufacturing Value Added share in total manufacturing value added,Value,0.248699997,0.248700007,0.245887958,0.279205302,0.296283542,0.272005128,0.285635506,0.309832144,0.304433212,0.281071233,0.285957381,0.269826104,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476,0.260006476
ARG,Argentina,3795,Share of Medium and High-Tech Activities in Total MVA Index,Value,0.373529493,0.354770509,0.34579247,0.388106915,0.405524952,0.361728439,0.380211352,0.412200235,0.406596506,0.368560624,0.362065434,0.338194423,0.320832956,0.320399485,0.31362241,0.312029668,0.305277214,0.298275713,0.293254286,0.301111773,0.300247213,0.298580666,0.300923984,0.301660543,0.319974338
ARG,Argentina,3796,Medium- and High-Tech manufactured Exports share in total manufactured exports,Value,0.236244339,0.236244339,0.236244339,0.289721844,0.300064176,0.304613965,0.317892949,0.374061607,0.380161925,0.330776249,0.361735506,0.366755964,0.316596095,0.283221495,0.300268059,0.324409927,0.341910456,0.351651912,0.3861985,0.4243973,0.450488423,0.463327557,0.471759232,0.50595119,0.490313236
ARG,Argentina,3797,Share of Medium and High-Tech Activities in Manufacturing Export Index,Value,0.284101792,0.283270693,0.281520735,0.343355074,0.353288463,0.361532534,0.37723173,0.444780981,0.451388136,0.391961055,0.423635556,0.433887129,0.375865714,0.336266489,0.358664101,0.393965461,0.415753311,0.431655539,0.485035861,0.519946816,0.540003875,0.528745717,0.544003933,0.588794702,0.522735693
ARG,Argentina,3798,Manufacturing Value Added per capita,Value,994.8948558,1078.095169,1173.0099,1217.110374,1253.936929,1276.426783,1342.173587,1447.474836,1457.169044,1326.714836,1262.575839,1158.014679,1021.423221,1173.846691,1302.795755,1411.298888,1535.583324,1645.177452,1683.348169,1642.611497,1813.814055,2003.683805,1954.743859,1941.67896,1900.45639
ARG,Argentina,3799,MVA per capita index,Value,0.088410789,0.096573927,0.106044104,0.111105942,0.111990464,0.115332623,0.121277095,0.126566667,0.125667369,0.114046168,0.106870629,0.093167648,0.080423605,0.093418373,0.102105887,0.107514007,0.111166335,0.114689969,0.114805643,0.125920335,0.131468172,0.135589068,0.134726992,0.135900012,0.131003272
ARG,Argentina,3801,Share of MVA in GDP index,Value,0.349610478,0.348077106,0.347147166,0.354325815,0.342922267,0.36952392,0.374235021,0.369259469,0.363716654,0.352499712,0.360418002,0.332640737,0.331562095,0.360670657,0.380682543,0.387892625,0.40281321,0.407597145,0.41249934,0.429743558,0.470358507,0.49077348,0.472324465,0.462177131,0.452516948
ARG,Argentina,3802,Manufactured Exports per capita,Value,178.8694548,178.8694548,178.8694548,199.8937279,239.7100967,326.7087284,324.9638501,394.5191103,410.5351349,349.294113,367.3755737,368.7733598,363.2324092,404.4791833,487.0999723,572.4122792,686.805448,808.2776201,975.4221502,744.1191588,885.4926769,1060.402633,988.6358674,908.8542895,784.355052
ARG,Argentina,3803,Manufactured Exports per capita index,Value,0.01110809,0.01110809,0.01110809,0.012416926,0.01476606,0.017569273,0.016869791,0.021366182,0.02554356,0.020270524,0.019399867,0.018516089,0.017362307,0.018566035,0.018676965,0.020271527,0.022606219,0.022581036,0.025425109,0.024785654,0.027195842,0.028120952,0.027718136,0.022548058,0.0126128
ARG,Argentina,3804,Industrial export quality index,Value,0.388800188,0.388853022,0.389152158,0.433931625,0.440585796,0.456145321,0.43193753,0.492142154,0.505202228,0.468466879,0.46896107,0.474765338,0.453210236,0.424661563,0.451541158,0.478143654,0.497497336,0.502969134,0.525438892,0.533369354,0.538174138,0.527177967,0.528279071,0.542197409,0.499808498
ARG,Argentina,3805,Manufactured Exports share in total exports,Value,0.490062365,0.490062365,0.490062365,0.517527261,0.520611717,0.54288394,0.481297962,0.532740996,0.56080041,0.54663611,0.514682274,0.51654494,0.531623626,0.512983126,0.539694348,0.551597686,0.575296023,0.569928407,0.552720429,0.534964825,0.524304664,0.513843515,0.501934182,0.491536618,0.479817784
